backlog_error_pts,pressure_pct
0.01,-62.79
0.67,-60.16
0.71,-56.43
0.07,-52.63
-0.4,-46.71
-2.29,-36.39
-7.23,-29.24
-11.71,-23.2
-15.81,-13.26
-21.3,-10.21
-21.74,-4.53
-24.41,-0.64
-20.6,5.96
-22.66,1.7
-20.07,1.56
-12.16,3.36
-4.34,4.53
4.66,3.59
9.64,-1.27
16.4,-9.36
20.91,-18.57
9.71,-24.64
7.36,-30.33
1.86,-28.07
-2.49,-24.54
3.91,-52.1
-1.27,-48.49
-2.16,-41.96
-2.7,-35.7
-0.1,-30.99
1.86,-23.93
3.93,-13.77
3.5,-8.94
4.56,-3.11
3.99,0.26
2.41,-10.0
6.83,-13.3
12.34,-16.13
15.71,-19.66
19.11,-20.9
21.13,-25.71
14.46,-29.24
8.39,-32.33
3.19,-31.09
2.7,-27.54
-2.69,-27.8
-5.64,-27.3
-4.71,-26.71
-2.93,-26.34
-0.41,-26.41
2.0,-25.57
3.11,-25.23
4.39,-24.61
3.07,-49.71
6.4,-44.11
2.71,-38.11
2.67,-34.06
1.5,-27.39
2.17,16.61
-15.3,-3.83
-10.53,-2.4
-5.67,-0.09
-3.24,-0.77
0.79,-1.73
4.17,-5.41
29.11,-10.86
8.49,-12.51
-3.57,-41.89
-3.17,-51.89
-2.11,-50.53
-2.24,-45.9
-4.47,-46.19
-4.74,-43.3
-3.14,-42.51
-0.74,-43.61
0.59,-42.3
-0.33,-37.6
-1.13,-37.61
-1.77,-31.44
-4.2,-28.81
-6.86,-25.81
1.96,-34.5
2.81,-25.0
-1.33,-17.23
-1.5,-11.07
-1.54,-3.96
-1.36,4.69
1.49,2.1
8.54,0.8
12.96,-5.59
17.37,-14.97
8.51,-21.7
7.24,-31.53
1.49,-24.86
-4.36,-26.03
-4.81,-19.73
-4.46,-18.0
-3.19,-13.71
-3.4,-9.53
-4.4,-9.07
-2.6,-9.46
-1.9,-6.09
-1.31,-2.4
-0.33,-4.97
1.04,-6.61
2.64,-6.3
4.57,-5.11
6.13,-5.37
6.5,-7.8
2.49,-39.67
5.09,-29.71
-0.5,-22.49
-3.21,-11.59
-4.89,-2.66
-3.0,5.76
1.14,-8.66
14.33,-15.83
23.67,-29.57
31.93,-44.04
9.43,-52.37
-2.41,-65.13
0.69,-68.09
0.27,-69.07
-1.03,-71.89
-0.31,-71.76
-0.06,-69.57
-1.21,-66.86
0.47,-69.49
0.0,-71.74
-0.73,-68.63
0.97,-70.21
-0.14,-73.09
3.53,-38.31
6.11,-29.86
0.23,-21.93
-1.53,-12.94
-1.43,-4.9
0.11,4.56
2.23,-3.81
11.53,-7.83
12.97,-15.83
17.7,-26.03
9.87,-31.21
3.86,-35.73
-2.7,-31.03
-5.87,-30.0
-6.24,-23.83
-7.03,-21.26
-7.31,-20.59
-5.71,-19.79
-6.27,-19.2
-5.97,-9.21
-6.8,-11.2
-4.6,-7.03
-4.44,-8.36
-2.99,-11.97
-1.37,-10.56
0.56,-10.54
5.29,-10.27
6.97,-11.0
5.36,-33.54
10.86,-27.37
5.49,-20.53
5.67,-9.73
-0.11,-2.83
-0.01,1.77
-0.86,-7.2
5.67,-13.56
13.19,-21.87
21.37,-26.04
5.04,-35.17
-2.69,-38.9
-4.31,-39.54
-5.24,-39.31
-5.0,-38.63
-1.77,-33.63
-1.94,-33.96
-1.21,-25.8
-4.77,-27.49
-5.44,-26.09
-6.6,-24.79
-7.94,-26.63
-3.19,-23.37
-1.66,-25.81
1.87,-23.33
4.66,-25.93
8.63,-27.04
3.93,-32.4
9.39,-29.51
7.71,-31.46
13.79,-27.79
13.69,-23.1
15.83,-24.76
13.24,-23.9
10.67,-15.24
5.21,-9.97
-1.8,-3.33
-4.03,3.14
-8.87,-3.04
-2.09,-13.26
8.97,-22.84
19.73,-32.5
30.74,-42.23
8.96,-52.63
-0.27,-65.21
0.61,-65.79
1.16,-65.36
-1.07,-65.51
-0.31,-68.9
0.24,-68.84
-0.24,-70.01
-1.41,-65.03
0.46,-68.39
0.01,-71.94
6.29,-35.59
13.44,-25.79
4.33,-19.01
2.71,-13.73
-2.39,-5.44
0.06,0.97
0.6,-9.69
9.34,-15.6
14.09,-19.14
17.66,-27.97
9.24,-35.1
2.47,-35.0
-5.51,-33.2
-5.3,-27.39
-7.11,-27.1
-7.17,-24.1
-6.04,-25.77
-5.36,-20.93
-4.89,-17.66
-3.5,-19.0
-1.64,-18.99
0.44,-13.8
-1.21,-14.24
-1.54,-12.01
-2.07,-11.23
-1.41,-4.13
-2.83,-6.79
-3.07,-12.49
6.4,-33.87
12.7,-25.44
4.56,-16.13
1.27,-10.23
-3.61,-2.76
-0.89,0.01
3.56,-9.8
9.53,-15.83
15.54,-22.9
20.4,-32.74
4.69,-41.46
-2.97,-46.8
-2.89,-44.76
-1.63,-41.86
-1.86,-42.73
-2.2,-40.84
-3.53,-41.83
-1.8,-38.44
-1.53,-36.89
-0.66,-36.97
-0.59,-35.24
-0.94,-32.24
-2.34,-28.21
-3.03,-27.4
-3.94,-26.5
-4.31,-29.5
-2.09,-30.29
0.01,-28.37
4.6,-31.9
10.43,-25.44
4.17,-17.67
3.41,-10.16
-2.97,-2.71
-4.11,2.46
-0.81,-3.4
5.79,-6.7
13.03,-9.96
16.63,-19.29
8.99,-28.96
0.16,-35.99
-4.57,-32.11
-5.91,-28.01
-6.24,-24.11
-4.81,-22.6
-4.8,-22.81
-4.86,-20.4
-6.27,-18.27
-4.07,-13.34
-3.86,-14.8
-1.04,-13.94
0.46,-15.59
2.41,-15.9
5.99,-14.19
6.57,-14.6
8.19,-15.54
0.99,-38.36
3.6,-26.54
1.67,-20.61
1.56,-13.23
2.67,-6.24
0.93,3.74
3.73,-2.07
10.5,-3.51
14.56,-9.61
17.87,-21.57
9.51,-31.57
4.51,-38.87
4.51,-36.14
-0.97,-31.24
-1.66,-31.31
-2.07,-30.34
-3.26,-28.44
-3.51,-24.36
-4.27,-23.01
-6.11,-22.09
-6.21,-19.23
-5.51,-19.39
-4.36,-20.33
-1.76,-21.64
-0.09,-21.67
0.54,-19.93
0.63,-22.39
1.06,-36.29
2.2,-28.89
1.19,-20.07
1.61,-12.09
1.84,-8.26
5.24,3.63
6.21,-1.5
11.06,-5.6
14.39,-23.94
21.36,-34.06
18.57,-42.6
21.39,-47.1
14.71,-46.29
3.37,-47.76
-1.99,-51.41
-1.46,-52.61
-0.47,-52.74
-0.71,-54.26
-1.27,-55.94
-1.83,-57.4
-2.2,-56.51
-1.99,-59.71
-0.64,-61.44
