queued_pricing_error_s,backlog_error_s
1.5201,1.012
1.0856,0.587
0.7088,0.223
0.7003,0.189
0.2979,-0.188
0.0814,-0.395
0.1659,-0.33
-0.072,-0.205
0.089,-0.029
0.2613,0.14
0.3562,0.218
0.4507,0.307
0.439,0.19
0.4497,0.187
0.2974,0.105
-1.0378,-1.071
-0.671,-0.737
-0.301,-0.397
-0.0323,-0.227
0.247,0.055
0.5059,0.292
2.0094,2.038
0.9859,0.594
0.2916,-0.25
-0.2254,-0.222
-0.1336,-0.148
-0.1512,-0.157
-0.2668,-0.313
-0.2647,-0.332
-0.1941,-0.22
-0.0616,-0.052
0.0408,0.041
0.0468,-0.023
0.0131,-0.079
-0.0146,-0.124
-0.188,-0.294
-0.3277,-0.48
0.121,-0.093
0.1367,-0.105
0.0805,-0.108
1.0493,0.907
1.323,1.216
1.2127,0.596
1.1675,0.507
0.6941,0.104
0.2567,-0.305
0.2588,-0.337
-0.2427,-0.312
-0.1744,-0.223
-0.1657,-0.238
-0.1903,-0.308
-0.0462,-0.182
0.0235,-0.133
0.1474,-0.092
0.1473,-0.023
0.2609,0.073
0.3491,0.185
0.4722,0.32
0.5808,0.429
0.6028,0.455
0.433,-0.035
0.2607,-0.225
-0.1555,-0.342
-0.0784,0.08
0.9286,1.003
1.8908,1.657
2.3574,2.235
1.4407,0.66
-0.1274,-0.169
0.0353,0.048
0.0279,0.019
-0.0673,-0.072
-0.0274,-0.022
-0.0058,-0.004
0.0289,0.033
0.0,0.0
0.0659,0.068
-0.0045,-0.01
0.527,0.016
0.4385,-0.107
0.1839,-0.1
0.1206,0.156
0.7754,0.807
1.1086,0.908
1.4109,1.239
1.3038,0.691
0.8274,0.27
0.3879,-0.189
0.2442,-0.411
-0.2626,-0.437
-0.3483,-0.492
-0.4226,-0.512
-0.3462,-0.4
-0.3566,-0.439
-0.3072,-0.418
-0.3809,-0.476
-0.2167,-0.322
-0.1662,-0.311
-0.0484,-0.209
0.0697,-0.096
0.1951,0.039
0.5031,0.37
0.5803,0.488
0.923,0.384
0.9529,0.397
0.5177,-0.008
-0.0077,-0.06
0.4724,0.397
1.0213,0.923
1.5175,1.496
0.8845,0.353
0.3514,-0.188
-0.2745,-0.302
-0.2724,-0.367
-0.3171,-0.35
