queued_pricing_error_s,backlog_error_s
-0.3084,-0.274
-0.2648,-0.178
-0.2671,-0.194
-0.1556,-0.094
-0.2683,-0.218
-0.2102,-0.275
-0.3109,-0.394
-0.3894,-0.485
-0.4796,-0.577
-0.6333,-0.736
0.0376,0.009
0.5868,0.596
1.224,1.234
2.0962,2.094
2.2104,1.918
0.573,0.134
0.1423,-0.167
0.1994,-0.117
-0.0965,0.169
0.2609,0.268
0.1573,0.101
0.0614,-0.147
-0.3005,-0.403
-0.4164,-0.422
-0.4716,-0.492
-0.413,-0.433
-0.2838,-0.243
-0.1819,-0.15
-0.2927,-0.273
-0.2822,-0.29
-0.2729,-0.284
-0.4572,-0.539
-0.5412,-0.629
-0.5087,-0.61
-0.2963,-0.393
-0.1697,-0.276
-0.0343,-0.091
-0.014,-0.084
0.435,0.644
0.932,0.211
0.3668,-0.088
-0.0348,-0.005
0.0566,0.331
0.2406,0.102
0.1464,0.053
-0.063,-0.261
-0.1766,-0.349
-0.2146,-0.22
-0.1964,-0.285
-0.2254,-0.324
-0.2505,-0.253
-0.3688,-0.384
-0.5765,-0.684
-0.6425,-0.696
-0.6623,-0.751
-0.691,-0.759
-0.5553,-0.653
-0.5508,-0.657
-0.3581,-0.415
-0.2279,-0.299
0.146,0.121
0.3098,0.273
0.214,0.171
0.1276,0.078
0.2863,0.175
0.394,-0.129
-0.1588,-0.023
-0.1015,0.021
0.0567,0.027
0.0407,-0.036
0.0461,-0.051
0.0121,-0.019
0.0204,0.008
-0.0015,-0.025
-0.0489,-0.079
-0.2134,-0.232
-0.2992,-0.335
-0.3505,-0.384
-0.4985,-0.522
-0.8864,-0.934
-1.0949,-1.135
-1.3322,-1.373
-1.5654,-1.624
-1.7457,-1.804
-1.7684,-1.811
-1.7376,-1.794
-1.2789,-1.288
-1.1915,-1.216
-0.7551,-0.734
-0.6105,-0.605
0.1283,0.183
0.33,-0.155
-0.126,0.038
-0.0388,-0.051
-0.1105,-0.18
-0.2245,-0.352
-0.3342,-0.298
-0.1699,-0.088
-0.1365,-0.062
